"county","observation_count","locality_type","latitude","longitude","observation_date","time_observations_started","protocol_type","duration_minutes","effort_distance_km","number_observers","year","month","day","season","time_of_day"
"Albany",1,"P",42.734993,-73.819723,2022-03-11,"18:08:00","Stationary",23,NA,2,2022,3,11,"Spring","Evening"
"Queens",1,"H",40.6916046,-73.8871675,2022-03-06,"13:20:00","Traveling",95,2.575,2,2022,3,6,"Spring","Afternoon"
"New York",1,"H",40.796089,-73.9558947,2022-03-13,"08:13:00","Traveling",155,4.306,2,2022,3,13,"Spring","Morning"
"New York",3,"H",40.7887808,-73.9219681,2022-03-13,"07:05:00","Traveling",297,5.15,3,2022,3,13,"Spring","Morning"
"Kings",6,"H",40.6523083,-73.9904281,2022-03-13,"09:22:00","Traveling",230,6.459,1,2022,3,13,"Spring","Morning"
"Kings",1,"H",40.6523083,-73.9904281,2022-03-13,"13:45:00","Traveling",50,4.023,3,2022,3,13,"Spring","Afternoon"
"Queens",4,"H",40.6188482,-73.8307995,2022-03-05,"16:48:00","Traveling",92,3.511,1,2022,3,5,"Spring","Afternoon"
"Queens",1,"H",40.7238052,-73.8330507,2022-03-10,"16:32:00","Traveling",48,2.447,1,2022,3,10,"Spring","Afternoon"
"Kings",6,"H",40.6523083,-73.9904281,2022-03-14,"14:25:00","Traveling",144,5.724,2,2022,3,14,"Spring","Afternoon"
"Kings",1,"H",40.6523083,-73.9904281,2022-03-14,"11:10:00","Traveling",125,2.414,2,2022,3,14,"Spring","Morning"
"Tompkins",1,"H",42.4467995,-76.4406126,2022-03-14,"19:59:00","Traveling",8,0.443,2,2022,3,14,"Spring","Evening"
"Nassau",7,"P",40.7762193,-73.6884141,2022-03-11,"18:00:00","Traveling",4,6.437,3,2022,3,11,"Spring","Evening"
"Cattaraugus",1,"H",42.1794444,-78.9861111,2022-03-14,"17:27:00","Traveling",150,4.828,2,2022,3,14,"Spring","Evening"
"Bronx",1,"H",40.8980462,-73.8859475,2022-03-15,"10:36:00","Traveling",168,4.281,2,2022,3,15,"Spring","Morning"
"Bronx",1,"H",40.8941483,-73.8929476,2022-03-15,"09:37:00","Traveling",156,3.664,4,2022,3,15,"Spring","Morning"
"Westchester",7,"H",41.1871668,-73.8891219,2022-03-15,"19:34:00","Stationary",31,NA,2,2022,3,15,"Spring","Evening"
"New York",1,"H",40.7536729,-73.9832322,2022-03-16,"10:44:00","Traveling",23,1.123,2,2022,3,16,"Spring","Morning"
"Albany",1,"P",42.62485,-73.798913,2022-03-16,"19:33:00","Stationary",5,NA,2,2022,3,16,"Spring","Evening"
"Queens",7,"H",40.6170296,-73.8244561,2022-03-16,"17:49:00","Traveling",111,1.609,2,2022,3,16,"Spring","Evening"
"Westchester",10,"H",41.1871668,-73.8891219,2022-03-16,"18:14:00","Traveling",100,0.966,59,2022,3,16,"Spring","Evening"
"Tompkins",1,"P",42.4625889,-76.4269153,2022-03-17,"06:38:00","Stationary",7,NA,2,2022,3,17,"Spring","Morning"
"Dutchess",11,"P",41.612089,-73.884008,2022-03-16,"18:26:00","Stationary",82,NA,2,2022,3,16,"Spring","Evening"
"Tompkins",1,"P",42.3914325,-76.4122993,2022-03-17,"19:38:00","Stationary",6,NA,4,2022,3,17,"Spring","Evening"
"Tompkins",6,"H",42.4976053,-76.4600587,2022-03-17,"19:03:00","Stationary",61,NA,22,2022,3,17,"Spring","Evening"
"Suffolk",4,"P",40.909594,-73.150828,2022-03-17,"18:59:00","Traveling",42,0.241,11,2022,3,17,"Spring","Evening"
"Westchester",10,"H",41.1871668,-73.8891219,2022-03-16,"19:23:00","Traveling",90,1.609,50,2022,3,16,"Spring","Evening"
"Rensselaer",2,"P",42.9022032,-73.2933488,2022-03-18,"19:34:00","Traveling",21,0.241,2,2022,3,18,"Spring","Evening"
"Washington",1,"H",43.2669015,-73.5231062,2021-06-24,"11:14:00","Traveling",65,0.966,6,2021,6,24,"Summer","Morning"
"Queens",2,"H",40.6061334,-73.7788582,2022-03-18,"16:49:00","Traveling",160,6.437,3,2022,3,18,"Spring","Afternoon"
"Essex",3,"P",43.818195,-73.496303,2022-03-18,"19:30:00","Traveling",190,0.805,2,2022,3,18,"Spring","Evening"
"Kings",1,"H",40.6523083,-73.9904281,2022-03-19,"10:22:00","Traveling",65,2.295,2,2022,3,19,"Spring","Morning"
"Kings",1,"H",40.6523083,-73.9904281,2022-03-19,"09:00:00","Traveling",150,3.219,15,2022,3,19,"Spring","Morning"
"New York",2,"H",40.7887808,-73.9219681,2022-03-19,"09:10:00","Traveling",260,7.242,3,2022,3,19,"Spring","Morning"
"New York",4,"H",40.7536729,-73.9832322,2022-03-16,"08:00:00","Traveling",60,0.402,8,2022,3,16,"Spring","Morning"
"Tompkins",5,"H",42.4976053,-76.4600587,2022-03-19,"19:42:00","Traveling",14,0.586,3,2022,3,19,"Spring","Evening"
"Albany",2,"P",42.625964,-73.794741,2022-03-19,"21:19:00","Stationary",4,NA,2,2022,3,19,"Spring","Night"
"Kings",2,"H",40.6523083,-73.9904281,2022-03-20,"08:10:00","Traveling",203,3.219,3,2022,3,20,"Spring","Morning"
"Essex",1,"P",43.9471584,-74.0646917,2022-03-17,"06:37:00","Stationary",1,NA,4,2022,3,17,"Spring","Morning"
"Kings",3,"H",40.6523083,-73.9904281,2022-03-20,"09:45:00","Traveling",210,4.828,3,2022,3,20,"Spring","Morning"
"Ulster",4,"H",41.6341667,-74.2083282,2022-03-20,"17:32:00","Traveling",128,3.771,22,2022,3,20,"Spring","Evening"
"Ontario",1,"P",42.934068,-76.978526,2022-03-20,"19:12:00","Stationary",41,NA,3,2022,3,20,"Spring","Evening"
"Dutchess",3,"P",41.6057138,-73.8241888,2022-03-21,"18:45:00","Stationary",65,NA,3,2022,3,21,"Spring","Evening"
"Nassau",9,"P",40.7762193,-73.6884141,2022-03-17,"21:08:00","Traveling",231,4.828,4,2022,3,17,"Spring","Night"
"Kings",2,"H",40.5923453,-73.8914328,2022-03-19,"13:23:00","Traveling",450,6.84,2,2022,3,19,"Spring","Afternoon"
"Essex",1,"P",43.9441943,-74.0548402,2022-03-18,"06:40:00","Stationary",50,NA,3,2022,3,18,"Spring","Morning"
"Delaware",1,"P",42.351176,-75.209596,2022-03-22,"19:01:00","Traveling",39,3.269,2,2022,3,22,"Spring","Evening"
"Hamilton",1,"H",44.0707984,-74.5388353,2022-03-20,"06:34:00","Traveling",15,0.483,2,2022,3,20,"Spring","Morning"
"Monroe",1,"H",43.2105427,-77.9506334,2022-03-24,"19:52:00","Traveling",11,0.322,2,2022,3,24,"Spring","Evening"
"Chautauqua",3,"H",42.4220913,-79.4281205,2022-03-24,"19:35:00","Traveling",27,1.38,2,2022,3,24,"Spring","Evening"
"Chemung",2,"P",42.2684747,-76.5388437,2022-03-24,"19:45:00","Stationary",15,NA,2,2022,3,24,"Spring","Evening"
"Delaware",5,"P",42.365443,-75.064411,2022-03-24,"19:21:00","Traveling",18,0.215,2,2022,3,24,"Spring","Evening"
"Onondaga",2,"P",42.9705217,-75.9932183,2022-03-24,"19:21:00","Stationary",38,NA,3,2022,3,24,"Spring","Evening"
"Tompkins",5,"H",42.3860243,-76.3019298,2022-03-25,"19:27:00","Traveling",24,1.104,2,2022,3,25,"Spring","Evening"
"Erie",5,"H",42.8462509,-78.8594553,2022-03-25,"19:00:00","Traveling",92,3.353,15,2022,3,25,"Spring","Evening"
"New York",2,"H",40.7887808,-73.9219681,2022-03-26,"06:30:00","Traveling",305,4.828,3,2022,3,26,"Spring","Morning"
"Sullivan",1,"P",41.8723479,-74.7170105,2022-03-26,"08:43:00","Traveling",40,1.046,3,2022,3,26,"Spring","Morning"
"Westchester",3,"H",41.2071196,-73.8513355,2022-03-26,"19:44:00","Traveling",15,0.322,2,2022,3,26,"Spring","Evening"
"Putnam",5,"H",41.4444548,-73.9148855,2022-03-18,"18:45:00","Traveling",60,0.402,2,2022,3,18,"Spring","Evening"
"Dutchess",1,"H",41.7579306,-73.7454698,2021-08-15,"10:40:00","Traveling",180,4.828,2,2021,8,15,"Summer","Morning"
"St. Lawrence",2,"P",44.563876,-75.286893,2022-03-31,"20:05:00","Traveling",10,2.414,2,2022,3,31,"Spring","Evening"
"New York",1,"H",40.7779667,-73.9697165,2022-04-01,"15:15:00","Traveling",80,5.633,3,2022,4,1,"Spring","Afternoon"
"Chenango",2,"P",42.713569,-75.7873499,2022-03-26,"20:03:00","Traveling",15,0.451,2,2022,3,26,"Spring","Evening"
"Franklin",2,"P",44.723032,-74.161615,2022-04-02,"19:50:00","Stationary",10,NA,2,2022,4,2,"Spring","Evening"
"Putnam",3,"H",41.4445045,-73.9123343,2021-03-20,"18:03:00","Traveling",94,3.219,2,2021,3,20,"Spring","Evening"
"Otsego",6,"P",42.7395566,-75.2035911,2022-04-02,"19:51:00","Traveling",40,4.828,2,2022,4,2,"Spring","Evening"
"Otsego",3,"P",42.737327,-75.012609,2022-04-02,"19:07:00","Traveling",60,1.54,2,2022,4,2,"Spring","Evening"
"Chautauqua",3,"H",42.4926018,-79.2730884,2022-04-03,"19:30:00","Traveling",41,5.29,2,2022,4,3,"Spring","Evening"
"Essex",2,"P",43.818195,-73.496303,2022-04-04,"19:37:00","Traveling",52,1.127,2,2022,4,4,"Spring","Evening"
"Otsego",3,"P",42.6779541,-75.2659951,2022-04-04,"20:03:00","Traveling",25,2.591,2,2022,4,4,"Spring","Evening"
"Otsego",1,"P",42.6579431,-75.2811146,2022-04-04,"19:30:00","Traveling",32,2.559,2,2022,4,4,"Spring","Evening"
"Delaware",1,"P",42.308459,-74.928352,2022-04-04,"19:32:00","Traveling",21,0.215,2,2022,4,4,"Spring","Evening"
"Delaware",3,"P",42.308459,-74.928352,2022-04-04,"19:53:00","Traveling",35,3.164,2,2022,4,4,"Spring","Evening"
"Putnam",1,"P",41.4848698,-73.7222921,2022-04-05,"19:45:00","Stationary",15,NA,2,2022,4,5,"Spring","Evening"
"Tompkins",3,"H",42.4256205,-76.3860617,2022-04-05,"19:27:00","Traveling",46,0.636,3,2022,4,5,"Spring","Evening"
"Erie",3,"P",42.841704,-78.852288,2022-04-05,"19:42:00","Stationary",59,NA,2,2022,4,5,"Spring","Evening"
"Erie",2,"H",42.8339669,-78.8504268,2022-04-05,"21:00:00","Stationary",5,NA,2,2022,4,5,"Spring","Night"
"Tompkins",1,"P",42.4276695,-76.3819973,2022-03-30,"18:52:00","Traveling",62,0.277,2,2022,3,30,"Spring","Evening"
"Erie",3,"P",42.7291667,-78.84375,2022-04-06,"20:08:00","Traveling",63,10.654,2,2022,4,6,"Spring","Evening"
"Otsego",4,"P",42.737327,-75.012609,2022-04-06,"19:57:00","Traveling",24,0.389,2,2022,4,6,"Spring","Evening"
"Genesee",3,"H",43.0938068,-78.0246663,2022-04-07,"20:12:00","Traveling",92,2.392,16,2022,4,7,"Spring","Evening"
"Genesee",3,"H",43.095406,-78.0102469,2022-04-07,"17:04:00","Traveling",187,3.402,16,2022,4,7,"Spring","Evening"
"Albany",1,"H",42.6649307,-73.967472,2022-04-08,"19:12:00","Traveling",48,0.966,2,2022,4,8,"Spring","Evening"
"Chautauqua",2,"H",42.4220913,-79.4281205,2022-04-09,"20:06:00","Stationary",13,NA,3,2022,4,9,"Spring","Evening"
"Kings",1,"H",40.6523083,-73.9904281,2022-04-09,"10:14:00","Traveling",106,2.709,1,2022,4,9,"Spring","Morning"
"Nassau",6,"H",40.8336002,-73.4754729,2022-04-09,"19:00:00","Traveling",106,2.189,2,2022,4,9,"Spring","Evening"
"Rensselaer",8,"P",42.5520845,-73.7279069,2022-04-08,"19:42:00","Traveling",41,0.805,2,2022,4,8,"Spring","Evening"
"Greene",2,"H",42.3221043,-73.8404037,2022-03-22,"18:23:00","Traveling",77,0.322,2,2022,3,22,"Spring","Evening"
"Yates",1,"P",42.75987,-77.26786,2022-04-09,"17:37:00","Traveling",178,2.462,15,2022,4,9,"Spring","Evening"
"Nassau",4,"H",40.8336002,-73.4754729,2022-04-09,"17:51:00","Traveling",146,3.404,2,2022,4,9,"Spring","Evening"
"Chautauqua",2,"H",42.4220913,-79.4281205,2022-04-09,"20:11:00","Stationary",8,NA,3,2022,4,9,"Spring","Evening"
"Kings",1,"H",40.5923453,-73.8914328,2022-04-10,"09:00:00","Traveling",206,6.84,2,2022,4,10,"Spring","Morning"
"Chemung",1,"P",42.2684747,-76.5388437,2022-04-10,"12:15:00","Traveling",150,2.012,2,2022,4,10,"Spring","Afternoon"
"Kings",1,"H",40.6523083,-73.9904281,2022-04-10,"11:06:00","Traveling",160,8.041,2,2022,4,10,"Spring","Morning"
"Wyoming",1,"P",42.7165841,-78.0952406,2021-05-05,"20:50:00","Stationary",7,NA,2,2021,5,5,"Spring","Evening"
"Monroe",2,"H",43.3201355,-77.7264261,2022-04-09,"18:57:00","Traveling",97,0.451,22,2022,4,9,"Spring","Evening"
"Ulster",1,"P",41.8633019,-73.987365,2022-03-15,"19:26:00","Stationary",1,NA,1,2022,3,15,"Spring","Evening"
"Ulster",1,"P",41.8633019,-73.987365,2022-04-01,"20:07:00","Stationary",1,NA,1,2022,4,1,"Spring","Evening"
"Ulster",1,"P",41.8633019,-73.987365,2022-03-20,"15:00:00","Traveling",120,3.219,1,2022,3,20,"Spring","Afternoon"
"Ulster",2,"P",41.8633019,-73.987365,2022-03-06,"05:55:00","Stationary",10,NA,1,2022,3,6,"Spring","Morning"
"Tompkins",1,"P",42.496831,-76.316994,2022-04-04,"18:06:00","Traveling",46,1.341,2,2022,4,4,"Spring","Evening"
"Chautauqua",1,"H",42.4926018,-79.2730884,2022-04-10,"19:56:00","Traveling",33,7.972,2,2022,4,10,"Spring","Evening"
"New York",1,"P",40.775676,-73.975748,2022-04-12,"07:35:00","Traveling",168,3.836,16,2022,4,12,"Spring","Morning"
"Albany",2,"H",42.6649307,-73.967472,2022-04-12,"19:12:00","Traveling",71,1.448,2,2022,4,12,"Spring","Evening"
"Erie",2,"H",42.8339669,-78.8504268,2022-04-12,"20:23:00","Stationary",11,NA,2,2022,4,12,"Spring","Evening"
"Chemung",1,"P",42.2684747,-76.5388437,2022-04-12,"19:50:00","Stationary",20,NA,2,2022,4,12,"Spring","Evening"
"Chemung",1,"P",42.2684747,-76.5388437,2022-04-10,"19:45:00","Stationary",15,NA,2,2022,4,10,"Spring","Evening"
"Ulster",2,"P",41.8633019,-73.987365,2020-04-07,"08:00:00","Traveling",120,3.219,3,2020,4,7,"Spring","Morning"
"Monroe",1,"H",43.2369181,-77.564064,2022-04-09,"14:02:00","Traveling",24,0.161,2,2022,4,9,"Spring","Afternoon"
"Tompkins",3,"H",42.5066218,-76.3754458,2022-04-12,"19:47:00","Traveling",38,1.53,2,2022,4,12,"Spring","Evening"
"Monroe",3,"P",43.359955,-77.944111,2022-04-12,"20:12:00","Stationary",10,NA,2,2022,4,12,"Spring","Evening"
"Jefferson",1,"P",44.0959828,-75.9561266,2020-03-24,"15:00:00","Traveling",60,1.609,2,2020,3,24,"Spring","Afternoon"
"Onondaga",4,"P",43.1773997,-76.1373886,2022-04-13,"17:23:00","Traveling",74,1.271,2,2022,4,13,"Spring","Evening"
"Monroe",4,"H",43.3201355,-77.7264261,2022-04-13,"20:02:00","Traveling",32,1.247,2,2022,4,13,"Spring","Evening"
"St. Lawrence",1,"H",44.1468628,-74.9012285,2022-04-13,"21:26:00","Stationary",5,NA,15,2022,4,13,"Spring","Night"
"Orleans",1,"H",43.3724359,-78.3398795,2022-04-13,"20:15:00","Traveling",62,6.327,2,2022,4,13,"Spring","Evening"
"Albany",2,"H",42.6649307,-73.967472,2022-04-14,"18:51:00","Traveling",95,1.448,2,2022,4,14,"Spring","Evening"
"Tompkins",3,"P",42.388477,-76.300393,2022-04-14,"23:15:00","Traveling",40,21.33,2,2022,4,14,"Spring","Night"
"Chautauqua",1,"H",42.4529497,-79.2192119,2022-04-15,"06:08:00","Traveling",4,0.465,2,2022,4,15,"Spring","Morning"
"Albany",11,"P",42.698671,-74.021031,2022-04-15,"19:55:00","Traveling",40,2.414,2,2022,4,15,"Spring","Evening"
"Onondaga",3,"H",43.198162,-76.317002,2022-04-15,"20:20:00","Stationary",4,NA,4,2022,4,15,"Spring","Evening"
"Onondaga",3,"H",43.207691,-76.338582,2022-04-15,"19:48:00","Traveling",26,0.444,4,2022,4,15,"Spring","Evening"
"Tompkins",1,"P",42.4276695,-76.3819973,2022-04-16,"19:40:00","Traveling",40,0.522,2,2022,4,16,"Spring","Evening"
"Monroe",1,"H",43.2762602,-77.684471,2022-04-17,"08:43:00","Traveling",9,0.637,1,2022,4,17,"Spring","Morning"
"Monroe",1,"H",43.2752261,-77.6558854,2022-04-16,"13:55:00","Traveling",52,2.21,1,2022,4,16,"Spring","Afternoon"
"Monroe",1,"H",43.2872722,-77.6685781,2022-04-12,"19:59:00","Traveling",21,0.177,1,2022,4,12,"Spring","Evening"
"Ulster",1,"P",41.8633019,-73.987365,2022-04-17,"10:02:00","Traveling",160,4.973,3,2022,4,17,"Spring","Morning"
"Erie",1,"P",43.023452,-78.787867,2022-04-17,"20:24:00","Traveling",4,0.243,2,2022,4,17,"Spring","Evening"
"Tompkins",1,"H",42.4379956,-76.3979816,2022-04-17,"20:02:00","Traveling",26,0.402,8,2022,4,17,"Spring","Evening"
"Ulster",1,"P",41.8633019,-73.987365,2022-04-18,"06:00:00","Traveling",90,1.609,2,2022,4,18,"Spring","Morning"
"Monroe",1,"H",43.3191364,-77.7141094,2022-04-13,"08:19:00","Traveling",45,0.604,2,2022,4,13,"Spring","Morning"
"Franklin",2,"P",44.8213834,-74.269605,2022-04-22,"20:22:00","Traveling",17,0.12,2,2022,4,22,"Spring","Evening"
"Hamilton",1,"P",44.052666,-74.621206,2022-04-23,"11:35:00","Traveling",36,1.551,2,2022,4,23,"Spring","Morning"
"Franklin",2,"P",44.9737851,-74.6596527,2022-04-22,"15:00:00","Traveling",105,8.047,2,2022,4,22,"Spring","Afternoon"
"Ulster",1,"P",41.8633019,-73.987365,2022-04-23,"13:33:00","Traveling",219,12.666,3,2022,4,23,"Spring","Afternoon"
"Tompkins",3,"H",42.4976053,-76.4600587,2022-04-24,"19:48:00","Traveling",32,0.37,2,2022,4,24,"Spring","Evening"
"Monroe",4,"H",43.3201355,-77.7264261,2022-04-24,"20:09:00","Traveling",50,1.474,2,2022,4,24,"Spring","Evening"
"Tompkins",4,"H",42.4581378,-76.3845436,2022-04-24,"18:14:00","Stationary",30,NA,2,2022,4,24,"Spring","Evening"
"Genesee",1,"H",43.112325,-78.4048443,2022-04-24,"15:15:00","Traveling",86,6.486,2,2022,4,24,"Spring","Afternoon"
"Essex",1,"P",43.818195,-73.496303,2022-04-25,"20:13:00","Traveling",3,0.119,2,2022,4,25,"Spring","Evening"
"Essex",1,"P",43.818195,-73.496303,2022-04-25,"20:38:00","Traveling",19,1.076,2,2022,4,25,"Spring","Evening"
"Tompkins",4,"H",42.4379956,-76.3979816,2022-04-25,"19:48:00","Traveling",55,0.229,2,2022,4,25,"Spring","Evening"
"Columbia",1,"P",42.091844,-73.692657,2022-04-26,"07:38:00","Traveling",236,3.541,9,2022,4,26,"Spring","Morning"
"Oswego",1,"H",43.527261,-76.2393397,2022-04-24,"06:45:00","Traveling",660,0.161,2,2022,4,24,"Spring","Morning"
"Tompkins",3,"H",42.4976053,-76.4600587,2022-04-26,"19:58:00","Traveling",40,0.248,15,2022,4,26,"Spring","Evening"
"Tompkins",1,"H",42.5329115,-76.3534811,2022-04-27,"19:05:00","Stationary",90,NA,2,2022,4,27,"Spring","Evening"
"Tompkins",2,"H",42.4959541,-76.4513443,2022-04-28,"20:39:00","Stationary",23,NA,3,2022,4,28,"Spring","Evening"
"Monroe",2,"H",43.278634,-77.692937,2022-04-29,"20:45:00","Traveling",13,0.997,2,2022,4,29,"Spring","Evening"
"Monroe",1,"H",43.2762602,-77.684471,2022-04-29,"20:59:00","Traveling",10,0.878,2,2022,4,29,"Spring","Evening"
"Essex",4,"P",43.818195,-73.496303,2022-04-30,"20:23:00","Traveling",41,0.805,2,2022,4,30,"Spring","Evening"
"Monroe",1,"H",43.2872722,-77.6685781,2022-05-01,"05:36:00","Traveling",26,0.1,1,2022,5,1,"Spring","Morning"
"Tompkins",4,"H",42.4959541,-76.4513443,2022-04-25,"20:01:00","Stationary",45,NA,2,2022,4,25,"Spring","Evening"
"Monroe",1,"H",43.290592,-77.6757646,2022-05-01,"10:34:00","Traveling",26,0.56,2,2022,5,1,"Spring","Morning"
"Monroe",1,"H",43.290592,-77.6757646,2022-05-01,"10:35:00","Traveling",46,0.805,3,2022,5,1,"Spring","Morning"
"Oswego",1,"H",43.527261,-76.2393397,2022-05-01,"07:00:00","Traveling",720,0.161,2,2022,5,1,"Spring","Morning"
"Delaware",2,"P",42.303105,-75.169144,2022-05-02,"20:24:00","Traveling",11,0.746,2,2022,5,2,"Spring","Evening"
"Delaware",2,"P",42.308401,-75.174805,2022-05-02,"20:06:00","Traveling",16,0.327,2,2022,5,2,"Spring","Evening"
"Oswego",1,"P",43.555266,-76.157068,2022-04-30,"19:30:00","Traveling",78,1.609,2,2022,4,30,"Spring","Evening"
"Kings",1,"H",40.6523083,-73.9904281,2022-05-03,"07:19:00","Traveling",215,4.408,3,2022,5,3,"Spring","Morning"
"Essex",3,"P",43.8153306,-73.4983635,2022-05-05,"20:28:00","Traveling",24,0.966,2,2022,5,5,"Spring","Evening"
"Orleans",4,"P",43.355163,-78.343996,2022-05-05,"20:41:00","Traveling",54,6.207,3,2022,5,5,"Spring","Evening"
"Oneida",1,"H",43.0240259,-75.3311828,2022-05-06,"08:00:00","Traveling",230,5.804,2,2022,5,6,"Spring","Morning"
"Tompkins",2,"H",42.5329115,-76.3534811,2022-05-07,"04:30:00","Traveling",151,0.644,2,2022,5,7,"Spring","Night"
"Albany",7,"H",42.7184131,-73.8640168,2022-05-07,"19:13:00","Traveling",77,4.324,2,2022,5,7,"Spring","Evening"
"Delaware",1,"P",42.349744,-74.982022,2022-05-07,"20:00:00","Traveling",27,0.318,2,2022,5,7,"Spring","Evening"
"Monroe",3,"P",43.3189408,-77.7260046,2022-05-08,"19:59:00","Traveling",57,1.858,2,2022,5,8,"Spring","Evening"
"Tompkins",2,"H",42.4379956,-76.3979816,2022-05-08,"20:00:00","Traveling",53,0.6,5,2022,5,8,"Spring","Evening"
"Oneida",2,"P",43.477816,-75.332155,2022-04-11,"17:54:00","Stationary",10,NA,2,2022,4,11,"Spring","Evening"
"Chautauqua",1,"H",42.4220913,-79.4281205,2022-05-09,"20:27:00","Traveling",39,5.711,2,2022,5,9,"Spring","Evening"
"Chautauqua",1,"P",42.44604,-79.39591,2022-05-09,"21:11:00","Stationary",1,NA,2,2022,5,9,"Spring","Night"
"Franklin",2,"P",44.72193,-74.148845,2022-05-10,"20:20:00","Stationary",16,NA,2,2022,5,10,"Spring","Evening"
"Wayne",10,"H",43.28386,-76.9222569,2022-05-10,"20:39:00","Traveling",24,0.674,2,2022,5,10,"Spring","Evening"
"Erie",1,"H",43.0606218,-78.9882132,2022-05-11,"20:31:00","Traveling",33,0.821,2,2022,5,11,"Spring","Evening"
"Erie",1,"H",43.0606218,-78.9882132,2022-05-11,"21:05:00","Traveling",17,0.772,2,2022,5,11,"Spring","Night"
"Chemung",1,"P",42.2684747,-76.5388437,2022-05-12,"20:55:00","Stationary",7,NA,2,2022,5,12,"Spring","Evening"
"Essex",3,"P",43.818195,-73.496303,2022-05-12,"22:20:00","Traveling",12,1.008,2,2022,5,12,"Spring","Night"
"Hamilton",1,"P",43.7528969,-74.2370834,2022-05-12,"20:41:00","Stationary",12,NA,2,2022,5,12,"Spring","Evening"
"Sullivan",1,"H",41.5384264,-74.5156422,2022-05-13,"16:00:00","Traveling",300,8.047,2,2022,5,13,"Spring","Afternoon"
"Tompkins",2,"P",42.346026,-76.464897,2022-05-14,"04:44:00","Stationary",5,NA,2,2022,5,14,"Spring","Night"
"Sullivan",1,"P",41.922197,-74.637364,2022-05-13,"22:14:00","Traveling",31,0.819,2,2022,5,13,"Spring","Night"
"Chautauqua",1,"H",42.489988,-79.3553149,2022-05-14,"07:28:00","Traveling",132,3.643,12,2022,5,14,"Spring","Morning"
"Sullivan",1,"P",41.5040421,-74.5554535,2022-05-14,"04:37:00","Stationary",3,NA,2,2022,5,14,"Spring","Night"
"Kings",3,"H",40.5923453,-73.8914328,2022-05-14,"04:27:00","Stationary",14,NA,1,2022,5,14,"Spring","Night"
"Monroe",1,"P",43.359955,-77.944111,2022-05-14,"20:54:00","Stationary",9,NA,2,2022,5,14,"Spring","Evening"
"Oswego",2,"H",43.4301625,-76.549509,2022-05-14,"18:48:00","Traveling",150,4.122,2,2022,5,14,"Spring","Evening"
"Sullivan",1,"H",41.5384264,-74.5156422,2022-05-14,"04:14:00","Traveling",85,4.828,6,2022,5,14,"Spring","Night"
"Onondaga",1,"H",43.217495,-76.121701,2022-05-14,"20:45:00","Traveling",21,0.379,1,2022,5,14,"Spring","Evening"
"Rockland",2,"H",41.3011999,-73.9869576,2022-05-12,"18:08:00","Traveling",131,3.764,1,2022,5,12,"Spring","Evening"
"Monroe",2,"H",43.3201355,-77.7264261,2022-05-15,"20:54:00","Stationary",25,NA,3,2022,5,15,"Spring","Evening"
"Monroe",5,"H",43.3201355,-77.7264261,2022-05-15,"18:11:00","Traveling",176,0.209,5,2022,5,15,"Spring","Evening"
"Oswego",1,"H",43.527261,-76.2393397,2022-05-15,"06:30:00","Traveling",600,1.609,2,2022,5,15,"Spring","Morning"
"Chemung",1,"P",42.2197584,-76.7077553,2022-05-15,"22:36:00","Traveling",35,6.637,2,2022,5,15,"Spring","Night"
"Otsego",2,"P",42.703897,-74.871317,2022-05-14,"17:15:00","Stationary",45,NA,2,2022,5,14,"Spring","Evening"
"Ontario",3,"P",42.885049,-77.47374,2022-05-14,"22:31:00","Stationary",45,NA,2,2022,5,14,"Spring","Night"
"Ontario",1,"P",42.885049,-77.47374,2022-05-15,"04:55:00","Stationary",20,NA,2,2022,5,15,"Spring","Night"
"Oswego",1,"H",43.527261,-76.2393397,2022-05-16,"06:32:00","Traveling",600,0.402,2,2022,5,16,"Spring","Morning"
"Tompkins",2,"P",42.4675986,-76.4510531,2022-05-14,"20:40:00","Traveling",12,0.03,2,2022,5,14,"Spring","Evening"
"Tompkins",2,"H",42.4379956,-76.3979816,2022-05-16,"20:37:00","Traveling",20,0.299,4,2022,5,16,"Spring","Evening"
"Essex",2,"P",43.818195,-73.496303,2022-05-15,"20:41:00","Traveling",55,1.127,2,2022,5,15,"Spring","Evening"
"Orange",3,"H",41.1944658,-74.2707502,2022-05-15,"09:14:00","Traveling",279,8.366,13,2022,5,15,"Spring","Morning"
"Seneca",1,"H",42.5577181,-76.7967493,2022-05-18,"20:56:00","Stationary",10,NA,4,2022,5,18,"Spring","Evening"
"Seneca",1,"P",42.557366,-76.808426,2022-05-18,"20:38:00","Stationary",10,NA,4,2022,5,18,"Spring","Evening"
"Franklin",1,"H",44.5199154,-73.9641651,2022-05-18,"08:17:00","Traveling",17,0.322,2,2022,5,18,"Spring","Morning"
"Dutchess",1,"P",41.6960592,-73.609994,2022-05-19,"19:38:00","Traveling",73,6.968,3,2022,5,19,"Spring","Evening"
"Onondaga",4,"P",43.197964,-76.321137,2022-05-19,"20:45:00","Stationary",9,NA,2,2022,5,19,"Spring","Evening"
"Oswego",1,"H",43.527261,-76.2393397,2022-05-20,"06:30:00","Stationary",768,NA,2,2022,5,20,"Spring","Morning"
"Herkimer",2,"P",43.731422,-74.969738,2022-05-20,"21:13:00","Traveling",14,0.715,8,2022,5,20,"Spring","Night"
"Essex",1,"P",43.818195,-73.496303,2022-05-21,"20:49:00","Traveling",50,2.272,2,2022,5,21,"Spring","Evening"
